reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_id,scraped_at,content_length,fecha,hora,content_limpio,tokens,content_normalizado,tokens_normalizados,content_normalizado_final
b00cb0d7-0837-4ff1-bb1d-617dcc42bd3c,Daniel Castillo,https://play-lh.googleusercontent.com/a-/ALV-UjV7DtiUh3vBrJifiCEcPS27WkJWJXL0L0gqwvNM8GqLn6eHqlXl,"Quisiera poder utilizar la aplicación, enserio que si, pero lamentablemente no se puede, la aplicación no me deja registrarme. Indica que no puedo afiliarme a Bille.",1,0,1.1.1,2025-02-05 20:07:06,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,165,2025-02-05,20:07:06,quimera poder utilizar aplicación serio lamentablemente pues aplicación deja registrar india quedo afiliar billa,"['quimera', 'utilizar', 'aplicación', 'serio', 'lamentablemente', 'aplicación', 'dejar', 'registrar', 'india', 'quedo', 'afiliar', 'billa']",quimera utilizar aplicación serio lamentablemente aplicación dejar registrar india quedo afiliar billa,"['quimera', 'utilizar', 'aplicación', 'serio', 'lamentablemente', 'aplicación', 'dejar', 'crear', 'india', 'quedo', 'afiliar', 'billa']",quimera utilizar aplicación serio lamentablemente aplicación dejar crear india quedo afiliar billa
885aaa81-ef3e-4c2e-b58d-73bd42717643,Reinaldo Molina,https://play-lh.googleusercontent.com/a-/ALV-UjWvBga2ELAiAy2_2ad6Nqqn33D0tzRP7IDrYM3S-3Qls_HC6aM,Me robaron el móvil y ahora que quiero habilitarla en uno nuevo no me lo permite y por parte del banco al parecer ni ellos la pueden habilitar... 20 días y aún no pasa nada...,1,3,1.1.1,2025-01-29 16:41:27,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,175,2025-01-29,16:41:27,robar móvil ahora quieto habilitada nuevo permiso parte banco parecer pueden habilitar dios aun pasa,"['robar', 'móvil', 'quieto', 'habilitado', 'permiso', 'banco', 'parecer', 'habilitar', 'dio', 'pasar']",robar móvil quieto habilitado permiso banco parecer habilitar dio pasar,"['robar', 'móvil', 'quieto', 'habilitado', 'permiso', 'banco', 'parecer', 'habilitar', 'dio', 'pasar']",robar móvil quieto habilitado permiso banco parecer habilitar dio pasar
de0c4fa7-4489-403a-9ef3-3720bc67b17b,OMAR G.,https://play-lh.googleusercontent.com/a/ACg8ocIFoTIJZNaNANM3dqT8wqHm53Kyuf4KMFINYvzj5aiI8nJyMQ=mo,NO DEJA GENERAR QR YA COMPLETE TODA MI INFORMACION Y DICE ERROR DE CONEXIÓN CON EL SERVIDOR INTENTE MAS 20 VECES,1,0,1.1.1,2025-01-20 13:37:22,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,112,2025-01-20,13:37:22,deja generar completo toda información dije error conexión servidor intento mas veras,"['dejar', 'generar', 'completo', 'información', 'decir', 'error', 'conexión', 'servidor', 'intento', 'vera']",dejar generar completo información decir error conexión servidor intento vera,"['dejar', 'generar', 'completo', 'información', 'decir', 'error', 'conexión', 'servidor', 'intento', 'vera']",dejar generar completo información decir error conexión servidor intento vera
0bb6a796-35e7-4db2-8391-3e637c18d5d9,Eduardo Medrano,https://play-lh.googleusercontent.com/a-/ALV-UjXSPmqvwyR7nQfzi3YVWLAWisBnhx1C_7upW2C0Fl8CN_OsgYY,Muy pésima aplicación no permite registro queda en cargar la app y nunca ingresa mala,1,4,1.1.1,2025-01-14 19:36:42,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,85,2025-01-14,19:36:42,pésima aplicación permiso registro queda cargar a nunca inglesa mala,"['pésimo', 'aplicación', 'permiso', 'registro', 'quedar', 'cargar', 'inglés', 'malo']",pésimo aplicación permiso registro quedar cargar inglés malo,"['pésimo', 'aplicación', 'permiso', 'registro', 'funcionar', 'cargar', 'inglés', 'malo']",pésimo aplicación permiso registro funcionar cargar inglés malo
186ad210-37ec-455b-a6b3-76ef2c7a33d9,juan cruz (HAPPY),https://play-lh.googleusercontent.com/a/ACg8ocK9wTYXneN6eeotIg2XSgqE_T8sFYdDYwrvvCU06vJU-9IU1Lk=mo,No me permite registrar,1,1,1.1.1,2025-01-01 11:20:39,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,23,2025-01-01,11:20:39,permiso registrar,"['permiso', 'registrar']",permiso registrar,"['permiso', 'crear']",permiso crear
47937628-9821-4558-aff1-e2a53f3612d8,Mario Luis,https://play-lh.googleusercontent.com/a-/ALV-UjWymFQ6ukIUzxOGq7mrSAFPX4Rzd7GLdTDVGxNcHHlm4ISljJc,"No sé puede ni entrar, la aplicación está colgada",1,2,1.1.1,2024-12-09 10:38:19,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,49,2024-12-09,10:38:19,pues entrar aplicación colgada,"['entrar', 'aplicación', 'colgado']",entrar aplicación colgado,"['registrar', 'aplicación', 'colgado']",registrar aplicación colgado
799983e9-0fe4-4ef3-9110-a026dc05b69a,HENRRY VILLEGAS,https://play-lh.googleusercontent.com/a-/ALV-UjVvSCViKAVmo5k1XATOuzEl956-psthsRaCVs17XA8daihPoso,Super segura. Cambie de dispositivo y ahora nose como volver a ingresar. Necesito solucion,4,3,1.1.0,2024-12-06 23:46:07,Sin comentarios,,1.1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,90,2024-12-06,23:46:07,súper segura cambio dispositivo ahora nos volver ingresar necesitar solución,"['súper', 'seguro', 'cambio', 'dispositivo', 'volver', 'ingresar', 'necesitar', 'solución']",súper seguro cambio dispositivo volver ingresar necesitar solución,"['súper', 'seguro', 'cambio', 'dispositivo', 'volver', 'ingresar', 'necesitar', 'solución']",súper seguro cambio dispositivo volver ingresar necesitar solución
525fd885-0d89-4bc2-9f07-708e4f27529b,J. Antonio Balcazar Chacon,https://play-lh.googleusercontent.com/a-/ALV-UjUNSEustEgYiorBpAjRZ8MYdsrMXa-nGEvzx6G9QI105niAfGp6,"Tiene fallas, genera el Qr para cobrar pero no acepta los pagos o transferencias que quiero recibir",2,0,1.0,2024-11-30 15:12:03,Sin comentarios,,1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,99,2024-11-30,15:12:03,falla general cobrar acepta pago transferencia quieto recibir,"['falla', 'general', 'cobrar', 'aceptar', 'pago', 'transferencio', 'quieto', 'recibir']",falla general cobrar aceptar pago transferencio quieto recibir,"['falla', 'general', 'cobrar', 'aceptar', 'pago', 'transferencio', 'quieto', 'recibir']",falla general cobrar aceptar pago transferencio quieto recibir
a93cb207-4955-4195-b298-466cd7e5d6e6,Joel Freddy Poca Terrazas,https://play-lh.googleusercontent.com/a-/ALV-UjWDjZS5ewkOrMG3fpVgQF27H4Y0Fc5jPu8GlMHpmwFmK_RwLsft,Excelente,5,0,1.0,2024-10-26 08:09:34,Sin comentarios,,1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,9,2024-10-26,08:09:34,excelente,['excelente'],excelente,['excelente'],excelente
3e93db19-5bc2-4af0-94e8-47ccaa66ecf0,DEMETRIO CONDORI HUANCO,https://play-lh.googleusercontent.com/a-/ALV-UjXcal6ihmMbnbdNjDN4Z4Vy0A-cPFzdXJNzkaoQT6AE1FO6-wJn,Todo está bien antes de la actualización pero ahora hay problemas,3,2,1.0,2024-10-08 23:47:52,Sin comentarios,,1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,65,2024-10-08,23:47:52,bien actualizacion ahora problema,"['actualizacion', 'problema']",actualizacion problema,"['actualizacion', 'problema']",actualizacion problema
57933c64-334e-4a7c-92b4-f94649a8da68,Heber Calizaya Ramirez,https://play-lh.googleusercontent.com/a-/ALV-UjVYH4I3hBK0hbka62oM80kepDkI9xVihNxm6KgW2KBixfdiLdVT,No me deja registrarme a ese APK por qué está fallando si me podría ayudarme,1,1,1.0,2024-09-23 11:20:23,Sin comentarios,,1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,76,2024-09-23,11:20:23,deja registrar a callando podrida ayudar,"['dejar', 'registrar', 'callando', 'podrido', 'ayudar']",dejar registrar callando podrido ayudar,"['dejar', 'crear', 'callando', 'podrido', 'ayudar']",dejar crear callando podrido ayudar
c3980f4d-9b82-44d6-9757-cb5e89bb9318,jamil nieto fernandez,https://play-lh.googleusercontent.com/a-/ALV-UjV5tf0NbTQAcDejcxlwqiD9W3kTFk-jsuVG6gjNQe4mtFGOPA8,Soy uno de los primeros :'),4,1,1.0,2024-09-22 18:01:06,Sin comentarios,,1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,27,2024-09-22,18:01:06,primero,[],,[],
d9fc4193-05e9-4941-9885-8f18b9f9e67a,Loreto Yuco,https://play-lh.googleusercontent.com/a/ACg8ocJbBYR7qve3ZgMsp4ZfRFaDn8iJ7SYdTaJK-O49gCGvom7rHQ=mo,"la acabo de probar, excelente aplicación...te da a detalle a quien le enviaste dinero y está para incluso volver a reenviar los comprobantes..sólo falta saber si están habilitados los cajeros para cargar la billetera y para retiro de dinero.",5,5,1.0,2024-09-10 19:28:04,Sin comentarios,,1.0,com.walletapp.mobile,2025-09-28 21:05:50.892328,241,2024-09-10,19:28:04,acabo probar excelente aplicacionte detalle envase dinero incluso volver reenviar comprobantessolo falta saber esta habilitado cajero cargar billete retiro dinero,"['acabar', 'probar', 'excelente', 'aplicacionte', 'detalle', 'envase', 'dinero', 'volver', 'reenviar', 'comprobantessolo', 'faltar', 'habilitado', 'cajero', 'cargar', 'billete', 'retiro', 'dinero']",acabar probar excelente aplicacionte detalle envase dinero volver reenviar comprobantessolo faltar habilitado cajero cargar billete retiro dinero,"['acabar', 'probar', 'excelente', 'aplicacionte', 'detalle', 'envase', 'dinero', 'volver', 'reenviar', 'comprobantessolo', 'faltar', 'habilitado', 'cajero', 'cargar', 'billete', 'retiro', 'dinero']",acabar probar excelente aplicacionte detalle envase dinero volver reenviar comprobantessolo faltar habilitado cajero cargar billete retiro dinero
741899f1-f9dc-4085-9d9c-b5eae6bc93df,Melissa Alcalá,https://play-lh.googleusercontent.com/a-/ALV-UjUhgo4myBzqCvU0Q4xo7gWiOj_aPhyL8h3Yv67kLO9H6x9I3-4,la mejor app... me encanto.. es fácil de usar intuitiva super rapida,5,4,Desconocido,2024-09-08 22:41:08,Sin comentarios,,Desconocido,com.walletapp.mobile,2025-09-28 21:05:50.892328,68,2024-09-08,22:41:08,mejor a encanto fácil usar intuitiva súper rápida,"['encanto', 'fácil', 'intuitiva', 'súper', 'rápido']",encanto fácil intuitiva súper rápido,"['encanto', 'fácil', 'intuitiva', 'súper', 'rápido']",encanto fácil intuitiva súper rápido
5ea5f61c-b7e5-4cab-9235-33ee146f01f6,D brayan X,https://play-lh.googleusercontent.com/a-/ALV-UjULCoEYFiGIKCZVT1ebPrtTBbx-Z-pZr4fUWxAHFzgT2DbswvCy,Esta app es solo para la paz ???,3,0,Desconocido,2024-09-05 10:38:56,Sin comentarios,,Desconocido,com.walletapp.mobile,2025-09-28 21:05:50.892328,32,2024-09-05,10:38:56,a solo paz,['paz'],paz,['paz'],paz
